id,class_name,class1
1,C++工程师,2
2,Web前端工程师,2
3,测试工程师,2
4,产品经理,1
5,产品专员,1
6,UI设计师,4
7,网页设计师,4
8,财务管理,3
9,网络推广,5
10,网络客服,5
